FBG1,FBG2,FBG3,Strain,Temperature,Combined_Target
0.207886255,0.026532204,0.181435435,1.311770679,1.144706917,-1.9912723623635347
0.583041561,0.421424551,0.892671711,7.045643721,5.553890319,1.122548312185959
0.817443562,0.341817352,0.259423433,4.008535555,3.162879836,-0.538172802648006
0.379692408,0.590294943,0.268063641,3.973645907,3.034965164,-0.5778564303844187
0.624148908,0.409411652,0.552047181,5.170985221,4.182877564,0.11897328782834478
0.436126529,0.29446576,0.948453307,6.583369394,5.22058145,0.8760542060947694
0.763605794,0.140113176,0.868467976,6.180697605,4.970281381,0.6695539533252238
0.487431198,0.894552227,0.799855256,7.746820107,5.958300623,1.4756797559496744
0.425213504,0.022469308,0.268677359,2.278405665,1.784751927,-1.4875189023971385
0.541634215,0.63347822,0.257887685,4.328466638,3.648950717,-0.3151877678694788
0.139356074,0.834930237,0.984402181,7.587954301,6.197964499,1.463631288775073
0.525690182,0.171679286,0.272307327,2.838447871,2.234155084,-1.1795382888576458
0.018390677,0.914298807,0.117751083,3.428156009,2.821672219,-0.8317945324381147
0.576516476,0.274055221,0.554178003,4.651253825,3.797862596,-0.1602666026187612
0.651420388,0.829741804,0.206421272,4.870493176,3.996443695,-0.035054517709113456
0.010995829,0.13688563,0.900018642,4.796027976,3.83299557,-0.0972763422718084
0.873890078,0.597413102,0.60051686,6.627421185,5.279573339,0.9051293817761314
0.665036675,0.175371279,0.914411946,6.304994583,5.152673198,0.7548626133167782
0.418770525,0.383138528,0.518917705,4.636775155,3.647458275,-0.19669914560125112
0.046965967,0.166283369,0.738033616,4.345513215,3.47216057,-0.3448860284611916
0.082798668,0.603152109,0.24534911,3.132122031,2.716420462,-0.9674510012245617
0.389295614,0.288693737,0.355672716,3.481238677,2.815600167,-0.812586789269226
0.719045905,0.297121716,0.56640464,5.187524385,3.972689777,0.08222836682717836
0.476050402,0.663671165,0.936829739,7.573378811,6.202588293,1.458963705705766
0.732572097,0.214940379,0.031183135,2.165025537,1.754472772,-1.5374169823330166
0.262264044,0.595077931,0.051425813,2.370628379,2.094081557,-1.3885289635367601
0.496366247,0.596842849,0.334243891,4.4894455,3.580951755,-0.26710999911636973
0.770912204,0.106598253,0.075137782,2.080827798,1.708390767,-1.5793125318009797
0.728188756,0.495491316,0.688402396,6.394397863,5.20379176,0.7997971097150012
0.434827339,0.246402033,0.819102318,5.678027544,4.536283566,0.38683971190811794
0.799415879,0.694696471,0.272145137,5.111561134,3.912490932,0.04060974910053958
0.590230667,0.360973897,0.091582073,2.691088841,2.11475605,-1.2608107623833276
0.917313575,0.136818631,0.950237354,6.963325034,5.536835827,1.0873314490765935
0.446005773,0.185132929,0.541900947,4.23010214,3.422366249,-0.3995699711431783
0.872945836,0.732224886,0.806561148,8.008877873,6.42653503,1.6727065920766635
0.658783367,0.692276565,0.849195652,7.671990281,6.03059554,1.4616774576851095
0.249668009,0.489424964,0.221209442,3.120584877,2.731421181,-0.9688191699692998
0.987668008,0.94405934,0.039426811,4.85109088,4.025835138,-0.03650112077121233
0.705575173,0.925248317,0.180575345,5.165450891,4.221324007,0.12472770078723416
0.567945231,0.915488298,0.033945979,4.113332126,3.261251061,-0.47761374627122943
0.697420267,0.297349007,0.924396195,6.807200221,5.540423625,1.0279107782782793
0.971058245,0.944266489,0.474214217,7.121578994,5.798057308,1.2018951353188814
0.862042651,0.844549399,0.319100473,5.849305135,4.802658837,0.507478793145659
0.828915474,0.037007635,0.596269878,4.736753566,3.826708642,-0.1214051391633297
0.230008837,0.120566886,0.076953202,1.239870337,1.041462977,-2.0401557097905254
0.696288776,0.339874964,0.724766772,6.179172979,4.761678986,0.6261740737388163
0.065356341,0.315290338,0.539491292,3.88221683,2.987050921,-0.6229141595888871
0.790723165,0.318752503,0.625891376,5.535938801,4.519792261,0.3287082975399298
0.885977748,0.615863188,0.232959475,4.846549434,3.893775299,-0.06534157510532362
0.024400782,0.870098874,0.021269411,2.898338571,2.27465393,-1.1481538400804112
0.874701673,0.528937134,0.939067699,8.070234092,6.497183335,1.7108405427843207
0.798783236,0.997934111,0.350711815,6.454025923,5.241119066,0.8304297547233981
0.767188289,0.401930914,0.47987562,5.340774465,3.983480107,0.14349088075521754
